tvBench_id,db_id,chart,hardness,query,question,vega_zero
2317,match_season,Bar,Easy,"Visualize BAR SELECT Draft_Class , Draft_Pick_Number FROM match_season WHERE POSITION = ""Defender""",Bar chart showing draft pick numbers and draft classes for players who play the defender position.,"mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"""
1482@x_name@DESC,game_injury,Grouping Line,Hard,"Visualize LINE SELECT Season , COUNT(Season) FROM game GROUP BY Home_team ,  Season ORDER BY Season DESC",Line chart showing the number of season over season grouped by home team in descending order of season and ordered by the x-axis.,mark line data game encoding x season y aggregate count season color home_team transform group x sort x desc
1237@y_name@ASC,dorm_1,Bar,Medium,"Visualize BAR SELECT Sex , avg(age) FROM student GROUP BY sex ORDER BY avg(age) ASC",Bar chart showing mean age grouped by sex in ascending order of the y-axis.,mark bar data student encoding x sex y aggregate mean age transform group x sort y asc
1999,insurance_policies,Bar,Medium,"Visualize BAR SELECT Date_Payment_Made , COUNT(Date_Payment_Made) FROM Payments  ORDER BY Date_Payment_Made ASC BIN Date_Payment_Made BY YEAR",Bar chart showing payments made and binning by day of the week in ascending order of date.,mark bar data payments encoding x date_payment_made y aggregate count date_payment_made transform sort x asc bin x by year
1903@x_name@ASC,hr_1,Bar,Easy,"Visualize BAR SELECT LAST_NAME , SALARY FROM employees ORDER BY LAST_NAME ASC",Bar chart showing salaries by last name in ascending order.,mark bar data employees encoding x last_name y aggregate none salary transform sort x asc
3161,university_basketball,Grouping Scatter,Easy,"Visualize SCATTER SELECT Team_ID , ACC_Percent FROM basketball_match GROUP BY Team_Name","Scatter chart showing the relationship between team id and accuracy percentage, grouped by team name.",mark point data basketball_match encoding x team_id y aggregate none acc_percent color team_name
1975@x_name@ASC,inn_1,Bar,Hard,"Visualize BAR SELECT decor , count(*) FROM Rooms WHERE bedType = ""King"" GROUP BY decor ORDER BY decor ASC",Bar chart showing the number of rooms with king beds for each decor type in ascending order of decor.,"mark bar data rooms encoding x decor y aggregate count decor transform filter bedtype = ""king"" group x sort x asc"
898,culture_company,Bar,Medium,"Visualize BAR SELECT Year , COUNT(Year) FROM book_club GROUP BY Year ORDER BY YEAR DESC",Bar chart showing the number of books for each year in descending order of year.,mark bar data book_club encoding x year y aggregate count year transform group x sort x desc
2923,swimming,Bar,Easy,"Visualize BAR SELECT meter_600 , meter_100 FROM swimmer",Bar chart showing meter 100 across meter 600.,mark bar data swimmer encoding x meter_600 y aggregate none meter_100
1237@y_name@DESC,dorm_1,Bar,Medium,"Visualize BAR SELECT Sex , avg(age) FROM student GROUP BY sex ORDER BY avg(age) DESC",Bar chart showing mean age grouped by sex in descending order of the y-axis.,mark bar data student encoding x sex y aggregate mean age transform group x sort y desc
2810@x_name@ASC,solvency_ii,Bar,Medium,"Visualize BAR SELECT Product_Type_Code , COUNT(Product_Type_Code) FROM Products GROUP BY Product_Type_Code ORDER BY Product_Type_Code ASC",Bar chart showing the total number of different product type codes in ascending order of product type code.,mark bar data products encoding x product_type_code y aggregate count product_type_code transform group x sort x asc
2705,school_finance,Pie,Easy,"Visualize PIE SELECT County , sum(enrollment) FROM school GROUP BY county",Pie chart showing the total sum enrollment across county.,mark arc data school encoding x county y aggregate sum enrollment transform group x
2689,sakila_1,Line,Extra Hard,"Visualize LINE SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY payment_date",Line chart showing the number of payment dates for payments with an amount greater than 10 or handled by a staff member with the first name elsa.,mark line data payment encoding x payment_date y aggregate count payment_date transform filter amount > 10 union group x
502,coffee_shop,Bar,Medium,"Visualize BAR SELECT Address , COUNT(Address) FROM member GROUP BY Address ORDER BY Time_of_purchase",Bar chart showing the number of purchases for each coffee shop address.,mark bar data member encoding x address y aggregate count address transform group x sort time_of_purchase
3259,workshop_paper,Pie,Easy,"Visualize PIE SELECT Venue , COUNT(Venue) FROM workshop GROUP BY Venue",Pie chart showing the venue for each workshop.,mark arc data workshop encoding x venue y aggregate count venue transform group x
413@y_name@ASC,car_1,Bar,Medium,"Visualize BAR SELECT Year , avg(Weight) FROM CARS_DATA ORDER BY avg(Weight) ASC BIN Year BY WEEKDAY",Bar chart showing the mean weight in ascending order of the y-axis and binning by year.,mark bar data cars_data encoding x year y aggregate mean weight transform sort y asc bin x by weekday
2921@y_name@ASC,swimming,Bar,Easy,"Visualize BAR SELECT meter_500 , meter_100 FROM swimmer ORDER BY meter_100 ASC",Bar chart showing meters 500 on the x-axis and meters 100 on the y-axis in ascending order.,mark bar data swimmer encoding x meter_500 y aggregate none meter_100 transform sort y asc
1770@y_name@DESC,hr_1,Bar,Hard,"Visualize BAR SELECT HIRE_DATE , SUM(DEPARTMENT_ID) FROM employees WHERE hire_date < '2002-06-21'  ORDER BY SUM(DEPARTMENT_ID) DESC BIN HIRE_DATE BY WEEKDAY",Bar chart showing the distribution of hire date and the sum of department id bin hire date by weekday in descending order of the y-axis for employees hired before 2002-06-21.,mark bar data employees encoding x hire_date y aggregate sum department_id transform filter hire_date < '2002-06-21' sort y desc bin x by weekday
2776@x_name@ASC,singer,Bar,Easy,"Visualize BAR SELECT Citizenship , max(Net_Worth_Millions) FROM singer GROUP BY Citizenship ORDER BY Citizenship ASC",Bar chart showing the maximal net worth in millions by citizenship in ascending order of citizenship.,mark bar data singer encoding x citizenship y aggregate max net_worth_millions transform group x sort x asc
383@y_name@DESC,candidate_poll,Bar,Medium,"Visualize BAR SELECT Sex , AVG(Weight) FROM people GROUP BY Sex ORDER BY AVG(Weight) DESC",Bar chart showing the average weight by sex in descending order of the y-axis.,mark bar data people encoding x sex y aggregate mean weight transform group x sort y desc
2494@x_name@DESC,orchestra,Bar,Medium,"Visualize BAR SELECT Record_Company , COUNT(*) FROM orchestra GROUP BY Record_Company ORDER BY Record_Company DESC",Bar chart showing how many orchestras each record company manages in descending order of record company.,mark bar data orchestra encoding x record_company y aggregate count record_company transform group x sort x desc
2923@x_name@ASC,swimming,Bar,Easy,"Visualize BAR SELECT meter_600 , meter_100 FROM swimmer ORDER BY meter_600 ASC",Bar chart showing the distribution of meters 600 and 100 in ascending order of meter 600.,mark bar data swimmer encoding x meter_600 y aggregate none meter_100 transform sort x asc
2856@x_name@DESC,store_1,Bar,Hard,"Visualize BAR SELECT billing_state , COUNT(*) FROM invoices WHERE billing_country = ""USA"" GROUP BY billing_state ORDER BY billing_state DESC",Bar chart showing the number of invoices billed from each state in descending order.,"mark bar data invoices encoding x billing_state y aggregate count billing_state transform filter billing_country = ""usa"" group x sort x desc"
1247@x_name@DESC,driving_school,Bar,Medium,"Visualize BAR SELECT payment_method_code , count(*) FROM Customer_Payments GROUP BY payment_method_code ORDER BY payment_method_code DESC",Bar chart showing the total number from each payment method code in descending order.,mark bar data customer_payments encoding x payment_method_code y aggregate count payment_method_code transform group x sort x desc
12@x_name@DESC,activity_1,Bar,Medium,"Visualize BAR SELECT Sex , count(*) FROM Faculty GROUP BY Sex ORDER BY Sex DESC",Bar chart showing the number of male and female faculty in descending order of sex.,mark bar data faculty encoding x sex y aggregate count sex transform group x sort x desc
2109@y_name@DESC,local_govt_and_lot,Bar,Medium,"Visualize BAR SELECT date_moved_in , COUNT(date_moved_in) FROM customer_events GROUP BY date_moved_in ORDER BY COUNT(date_moved_in) DESC",Bar chart showing move in dates grouped and counted in descending order of the y-axis.,mark bar data customer_events encoding x date_moved_in y aggregate count date_moved_in transform group x sort y desc
2321@x_name@DESC,match_season,Bar,Medium,"Visualize BAR SELECT Position , COUNT(*) FROM match_season GROUP BY POSITION ORDER BY Position DESC",Bar chart showing how many players played each position in descending order of position.,mark bar data match_season encoding x position y aggregate count position transform group x sort x desc
1797@x_name@DESC,hr_1,Bar,Medium,"Visualize BAR SELECT COUNTRY_NAME , COUNT(COUNTRY_NAME) FROM countries GROUP BY COUNTRY_NAME ORDER BY COUNTRY_NAME DESC",Bar chart showing the number of different countries in descending order of country name.,mark bar data countries encoding x country_name y aggregate count country_name transform group x sort x desc
627@x_name@ASC,college_2,Bar,Medium,"Visualize BAR SELECT dept_name , AVG(salary) FROM instructor GROUP BY dept_name ORDER BY dept_name ASC",Bar chart showing mean salaries from each department name in ascending order of dept name.,mark bar data instructor encoding x dept_name y aggregate mean salary transform group x sort x asc
1419,flight_4,Bar,Hard,"Visualize BAR SELECT country , COUNT(country) FROM airlines WHERE name LIKE 'Orbit%' GROUP BY country","Bar chart showing the number of countries for airlines whose name starts with ""orbit"".",mark bar data airlines encoding x country y aggregate count country transform filter name like 'orbit%' group x
1149@y_name@ASC,device,Bar,Medium,"Visualize BAR SELECT Software_Platform , COUNT(*) FROM device GROUP BY Software_Platform ORDER BY COUNT(*) ASC",Bar chart showing the total number of software platforms in ascending order of the y-axis.,mark bar data device encoding x software_platform y aggregate count software_platform transform group x sort y asc
1069@x_name@ASC,debate,Bar,Medium,"Visualize BAR SELECT Party , COUNT(*) FROM people GROUP BY Party ORDER BY Party ASC",Bar chart showing the total number from different parties in ascending order of party.,mark bar data people encoding x party y aggregate count party transform group x sort x asc
826,cre_Docs_and_Epenses,Pie,Easy,"Visualize PIE SELECT Document_Type_Code , count(*) FROM Documents GROUP BY document_type_code",Pie chart showing the number of documents of each type.,mark arc data documents encoding x document_type_code y aggregate count document_type_code transform group x
284,bike_1,Bar,Hard,"Visualize BAR SELECT date , COUNT(date) FROM weather  ORDER BY max_gust_speed_mph DESC LIMIT 3 BIN date BY MONTH",Bar chart showing dates with the top 3 days with the largest max gust speeds binned by month.,mark bar data weather encoding x date y aggregate count date transform sort max_gust_speed_mph desc topk 3 bin x by month
2529@y_name@ASC,performance_attendance,Bar,Medium,"Visualize BAR SELECT Location , COUNT(*) FROM performance GROUP BY LOCATION ORDER BY COUNT(*) ASC",Bar chart showing the total number from each location in ascending order of the y-axis.,mark bar data performance encoding x location y aggregate count location transform group x sort y asc
3190,university_basketball,Pie,Medium,"Visualize PIE SELECT Affiliation , sum(Enrollment) FROM university WHERE founded > 1850 GROUP BY affiliation",Pie chart showing the different affiliations and total enrollment of schools founded after 1850 for each enrollment type.,mark arc data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x
1581@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , COUNT(HIRE_DATE) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40  ORDER BY COUNT(HIRE_DATE) DESC BIN HIRE_DATE BY WEEKDAY",Bar chart showing the distribution and amount of hire dates for employees whose salary is between 8000 and 12000 and have a commission or are not in department 40 in descending order of the y-axis and binning by weekday.,"mark bar data employees encoding x hire_date y aggregate count hire_date transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort y desc bin x by weekday"
338,bike_1,Pie,Easy,"Visualize PIE SELECT city , COUNT(*) FROM station GROUP BY city",Pie chart showing the total number across cities.,mark arc data station encoding x city y aggregate count city transform group x
3154,university_basketball,Pie,Easy,"Visualize PIE SELECT All_Road , ACC_Percent FROM basketball_match",Pie chart showing the percentage of accidents from different roads.,mark arc data basketball_match encoding x all_road y aggregate none acc_percent
3124@y_name@ASC,university_basketball,Bar,Medium,"Visualize BAR SELECT All_Home , COUNT(All_Home) FROM basketball_match GROUP BY All_Home ORDER BY COUNT(All_Home) ASC",Bar chart showing the total number of homes by type in ascending order of the y-axis.,mark bar data basketball_match encoding x all_home y aggregate count all_home transform group x sort y asc
1785,hr_1,Scatter,Easy,"Visualize SCATTER SELECT SALARY , COMMISSION_PCT FROM employees WHERE hire_date < '2002-06-21'",Scatter chart showing the relationship between salary and commission pct for employees hired before 2002-06-21.,mark point data employees encoding x salary y aggregate none commission_pct transform filter hire_date < '2002-06-21'
1552@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , SUM(MANAGER_ID) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%'  ORDER BY SUM(MANAGER_ID) DESC BIN HIRE_DATE BY WEEKDAY","Bar chart showing distribution of hire date and sum of manager ID for employees with ""d"" or ""s"" in their first name in descending order of the y-axis and binning by weekday.",mark bar data employees encoding x hire_date y aggregate sum manager_id transform filter first_name like '%d%' or first_name like '%s%' sort y desc bin x by weekday
1371,entrepreneur,Bar,Easy,"Visualize BAR SELECT Investor , COUNT(*) FROM entrepreneur GROUP BY Investor",Bar chart showing the number of entrepreneurs for each investor.,mark bar data entrepreneur encoding x investor y aggregate count investor transform group x
345@y_name@ASC,bike_1,Bar,Medium,"Visualize BAR SELECT date , AVG(cloud_cover) FROM weather  ORDER BY AVG(cloud_cover) ASC BIN date BY YEAR",Bar chart showing mean cloud cover by date in ascending order of the y-axis and binning by year.,mark bar data weather encoding x date y aggregate mean cloud_cover transform sort y asc bin x by year
2798@x_name@ASC,soccer_2,Bar,Medium,"Visualize BAR SELECT cName , min(enr) FROM college GROUP BY state ORDER BY cName ASC",Bar chart showing minimal earnings grouped by company name in ascending order of company name.,mark bar data college encoding x cname y aggregate min enr color state transform sort x asc
385,candidate_poll,Grouping Scatter,Easy,"Visualize SCATTER SELECT People_ID , Height FROM people GROUP BY Sex","Scatter chart showing people id vs height, grouped by sex.",mark point data people encoding x people_id y aggregate none height color sex
1856@y_name@DESC,hr_1,Bar,Medium,"Visualize BAR SELECT HIRE_DATE , SUM(SALARY) FROM employees  ORDER BY SUM(SALARY) DESC BIN HIRE_DATE BY WEEKDAY",Bar chart showing total number of salary grouped by hire date in descending order of the y-axis and binning by weekday.,mark bar data employees encoding x hire_date y aggregate sum salary transform sort y desc bin x by weekday
1506,gas_company,Bar,Medium,"Visualize BAR SELECT Main_Industry , COUNT(Main_Industry) FROM company WHERE headquarters != 'USA' GROUP BY Main_Industry",Bar chart showing the number of companies whose headquarters are not from the usa for each main industry.,mark bar data company encoding x main_industry y aggregate count main_industry transform filter headquarters != 'usa' group x
2316@y_name@DESC,match_season,Bar,Medium,"Visualize BAR SELECT Years_Played , COUNT(Years_Played) FROM player GROUP BY Years_Played ORDER BY COUNT(Years_Played) DESC",Bar chart showing the number of years played in descending order of the y-axis.,mark bar data player encoding x years_played y aggregate count years_played transform group x sort y desc
2880@y_name@DESC,student_assessment,Bar,Medium,"Visualize BAR SELECT course_name , COUNT(course_name) FROM courses GROUP BY course_name ORDER BY COUNT(course_name) DESC",Bar chart showing the number of courses from each course name in descending order of the y-axis.,mark bar data courses encoding x course_name y aggregate count course_name transform group x sort y desc
2020,insurance_policies,Bar,Easy,"Visualize BAR SELECT Date_Claim_Made , COUNT(Date_Claim_Made) FROM Settlements BIN Date_Claim_Made BY WEEKDAY",Bar chart showing the number of date claims made across binned by weekday.,mark bar data settlements encoding x date_claim_made y aggregate count date_claim_made transform bin x by weekday
2439@y_name@DESC,music_4,Bar,Hard,"Visualize BAR SELECT Category , COUNT(Category) FROM music_festival WHERE RESULT = ""Awarded"" GROUP BY Category ORDER BY COUNT(Category) DESC",Bar chart showing the number of categories of music festivals that have been awarded in descending order of the y-axis.,"mark bar data music_festival encoding x category y aggregate count category transform filter result = ""awarded"" group x sort y desc"
2677@y_name@ASC,riding_club,Bar,Medium,"Visualize BAR SELECT Gender , COUNT(Gender) FROM player GROUP BY Gender ORDER BY COUNT(Gender) ASC",Bar chart showing the distribution of players' gender in ascending order of the y-axis.,mark bar data player encoding x gender y aggregate count gender transform group x sort y asc
2053,journal_committee,Bar,Easy,"Visualize BAR SELECT Name , Age FROM editor",Bar chart showing the ages of each editor.,mark bar data editor encoding x name y aggregate none age
2676,riding_club,Pie,Easy,"Visualize PIE SELECT Gender , COUNT(Gender) FROM player GROUP BY Gender",Pie chart showing the gender proportion of players.,mark arc data player encoding x gender y aggregate count gender transform group x
2198,manufactory_1,Grouping Scatter,Medium,"Visualize SCATTER SELECT Code , Price FROM products WHERE price BETWEEN 60 AND 120 GROUP BY Name","Scatter chart showing the relationship between code and price for products with a price between 60 and 120, grouped by attribute name.",mark point data products encoding x code y aggregate none price color name transform filter price between 60 and 120
2110@y_name@DESC,local_govt_and_lot,Bar,Medium,"Visualize BAR SELECT date_moved_in , COUNT(date_moved_in) FROM customer_events  ORDER BY COUNT(date_moved_in) DESC BIN date_moved_in BY YEAR",Bar chart showing the total number of dates moved in by year in descending order of the y-axis and binning by year.,mark bar data customer_events encoding x date_moved_in y aggregate count date_moved_in transform sort y desc bin x by year
3221,wine_1,Bar,Hard,"Visualize BAR SELECT Grape , COUNT(Grape) FROM WINE WHERE Score > 93 GROUP BY Grape ORDER BY Name",Bar chart showing the number of grapes ordered by name with a score higher than 93.,mark bar data wine encoding x grape y aggregate count grape transform filter score > 93 group x sort name
3141@x_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Road , ACC_Percent FROM basketball_match ORDER BY All_Road ASC",Bar chart showing acc percent of all roads in ascending order.,mark bar data basketball_match encoding x all_road y aggregate none acc_percent transform sort x asc
711@y_name@DESC,course_teach,Bar,Easy,"Visualize BAR SELECT Hometown , Age FROM teacher ORDER BY Age DESC",Bar chart showing the age and hometown of every teacher in descending order of age.,mark bar data teacher encoding x hometown y aggregate none age transform sort y desc
1384@x_name@DESC,farm,Bar,Medium,"Visualize BAR SELECT Status , avg(Population) FROM city GROUP BY Status ORDER BY Status DESC",Bar chart showing average population from each status in descending order.,mark bar data city encoding x status y aggregate mean population transform group x sort x desc
1304,election,Bar,Easy,"Visualize BAR SELECT County_name , Population FROM county",Bar chart showing population by county name.,mark bar data county encoding x county_name y aggregate none population
659,college_3,Bar,Hard,"Visualize BAR SELECT LName , COUNT(LName) FROM STUDENT WHERE Sex = ""F"" GROUP BY LName ORDER BY Age DESC",Bar chart showing the number of female students' last names in descending order of age.,"mark bar data student encoding x lname y aggregate count lname transform filter sex = ""f"" group x sort age desc"
39@y_name@DESC,allergy_1,Bar,Hard,"Visualize BAR SELECT Fname , COUNT(Fname) FROM Student WHERE Sex = 'F' GROUP BY Fname ORDER BY COUNT(Fname) DESC",Bar chart showing the number of first names for all female students in descending order.,mark bar data student encoding x fname y aggregate count fname transform filter sex = 'f' group x sort y desc
2109@x_name@DESC,local_govt_and_lot,Bar,Medium,"Visualize BAR SELECT date_moved_in , COUNT(date_moved_in) FROM customer_events GROUP BY date_moved_in ORDER BY date_moved_in DESC",Bar chart showing the number of moved in dates in descending order of date moved in.,mark bar data customer_events encoding x date_moved_in y aggregate count date_moved_in transform group x sort x desc
1261,e_learning,Bar,Easy,"Visualize BAR SELECT password , author_id FROM Course_Authors_and_Tutors ORDER BY personal_name",Bar chart showing the distribution of passwords and author ids.,mark bar data course_authors_and_tutors encoding x password y aggregate none author_id transform sort personal_name
2615@y_name@DESC,products_for_hire,Bar,Extra Hard,"Visualize BAR SELECT payment_date , COUNT(payment_date) FROM payments WHERE amount_paid > 300 OR payment_type_code = 'Check'  ORDER BY COUNT(payment_date) DESC BIN payment_date BY MONTH","Bar chart showing the payment dates of payments with amount paid higher than 300 and payment type of ""check"" in descending order of the y-axis.",mark bar data payments encoding x payment_date y aggregate count payment_date transform filter amount_paid > 300 or payment_type_code = 'check' sort y desc bin x by month
2192@y_name@DESC,manufactory_1,Bar,Medium,"Visualize BAR SELECT Name , Manufacturer FROM products WHERE price BETWEEN 60 AND 120 ORDER BY Manufacturer DESC",Bar chart showing the comparison of manufacturers for products with prices between $60 and $120 in descending order of manufacturer.,mark bar data products encoding x name y aggregate none manufacturer transform filter price between 60 and 120 sort y desc
11@y_name@DESC,activity_1,Stacked Bar,Hard,"Visualize BAR SELECT Rank , count(*) FROM Faculty GROUP BY Sex ,  Rank ORDER BY count(*) DESC","Bar chart showing the number of faculty members by rank and gender in descending order of the y-axis, grouped by sex.",mark bar data faculty encoding x rank y aggregate count rank color sex transform group x sort y desc
2880@x_name@DESC,student_assessment,Bar,Medium,"Visualize BAR SELECT course_name , COUNT(course_name) FROM courses GROUP BY course_name ORDER BY course_name DESC",Bar chart showing the number of courses by course name in descending order of course name.,mark bar data courses encoding x course_name y aggregate count course_name transform group x sort x desc
773@x_name@ASC,cre_Doc_Tracking_DB,Line,Medium,"Visualize LINE SELECT Date_in_Locaton_To , COUNT(Date_in_Locaton_To) FROM Document_locations GROUP BY Date_in_Locaton_To ORDER BY Date_in_Locaton_To ASC",Line chart showing the number of documents in different ending dates in ascending order of date.,mark line data document_locations encoding x date_in_locaton_to y aggregate count date_in_locaton_to transform group x sort x asc
1545,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , AVG(MANAGER_ID) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' BIN HIRE_DATE BY MONTH","Bar chart showing the distribution of hire date and the average of manager id for all employees with ""d"" or ""s"" in their first name binned by month.",mark bar data employees encoding x hire_date y aggregate mean manager_id transform filter first_name like '%d%' or first_name like '%s%' bin x by month
51,allergy_1,Scatter,Easy,"Visualize SCATTER SELECT Advisor , count(*) FROM Student GROUP BY advisor",Scatter chart showing the number of students per advisor.,mark point data student encoding x advisor y aggregate count advisor transform group x
1546,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , SUM(DEPARTMENT_ID) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' BIN HIRE_DATE BY MONTH","Bar chart showing the distribution of hire date and the sum of department id for all employees who have the letters ""d"" or ""s"" in their first name binned by month.",mark bar data employees encoding x hire_date y aggregate sum department_id transform filter first_name like '%d%' or first_name like '%s%' bin x by month
658,college_2,Bar,Medium,"Visualize BAR SELECT dept_name , COUNT(dept_name) FROM student GROUP BY dept_name ORDER BY tot_cred",Bar chart showing the number of students in each department.,mark bar data student encoding x dept_name y aggregate count dept_name transform group x sort tot_cred
2307,manufacturer,Pie,Easy,"Visualize PIE SELECT Name , Num_of_Component FROM furniture WHERE Num_of_Component > 10",Pie chart showing the names and component amounts of all furniture that have more than 10 components.,mark arc data furniture encoding x name y aggregate none num_of_component transform filter num_of_component > 10
1783@y_name@DESC,hr_1,Bar,Hard,"Visualize BAR SELECT JOB_ID , COUNT(JOB_ID) FROM employees WHERE hire_date < '2002-06-21' GROUP BY JOB_ID ORDER BY COUNT(JOB_ID) DESC","Bar chart showing the comparison of job ids for employees hired before 2002-06-21, grouped by job id and in descending order of the y-axis.",mark bar data employees encoding x job_id y aggregate count job_id transform filter hire_date < '2002-06-21' group x sort y desc
3114@x_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Games , Team_ID FROM basketball_match ORDER BY All_Games ASC",Bar chart showing team ids in ascending order of all games.,mark bar data basketball_match encoding x all_games y aggregate none team_id transform sort x asc
2003,insurance_policies,Bar,Medium,"Visualize BAR SELECT Date_Payment_Made , AVG(Amount_Payment) FROM Payments  ORDER BY Date_Payment_Made ASC BIN Date_Payment_Made BY YEAR",Bar chart showing the average amount of each payment made in ascending order of date and binning by year.,mark bar data payments encoding x date_payment_made y aggregate mean amount_payment transform sort x asc bin x by year
3100@y_name@ASC,university_basketball,Bar,Medium,"Visualize BAR SELECT ACC_Road , SUM(School_ID) FROM basketball_match GROUP BY ACC_Road ORDER BY SUM(School_ID) ASC",Bar chart showing the total number of school IDs on the x-axis in ascending order of the y-axis.,mark bar data basketball_match encoding x acc_road y aggregate sum school_id transform group x sort y asc
2827,sports_competition,Bar,Easy,"Visualize BAR SELECT Position , avg(Points) FROM player GROUP BY POSITION",Bar chart showing the mean points of each position.,mark bar data player encoding x position y aggregate mean points transform group x
2677@x_name@ASC,riding_club,Bar,Medium,"Visualize BAR SELECT Gender , COUNT(Gender) FROM player GROUP BY Gender ORDER BY Gender ASC",Bar chart showing the number of gender versus gender in ascending order.,mark bar data player encoding x gender y aggregate count gender transform group x sort x asc
170@x_name@ASC,baseball_1,Line,Medium,"Visualize LINE SELECT year , avg(attendance) FROM home_game ORDER BY year ASC BIN year BY YEAR",Line chart showing the mean attendance over the year in ascending order of year and binning by year.,mark line data home_game encoding x year y aggregate mean attendance transform sort x asc bin x by year
3096,university_basketball,Grouping Scatter,Easy,"Visualize SCATTER SELECT Team_ID , All_Games_Percent FROM basketball_match GROUP BY All_Home",Scatter chart showing the correlation between team id and all games percent grouped by all home.,mark point data basketball_match encoding x team_id y aggregate none all_games_percent color all_home
2545@y_name@ASC,pets_1,Bar,Medium,"Visualize BAR SELECT PetType , avg(pet_age) FROM pets GROUP BY pettype ORDER BY avg(pet_age) ASC",Bar chart showing the average pet age from each pet type in ascending order of the y-axis.,mark bar data pets encoding x pettype y aggregate mean pet_age transform group x sort y asc
3043@y_name@ASC,train_station,Bar,Medium,"Visualize BAR SELECT Location , COUNT(Location) FROM station GROUP BY Location ORDER BY COUNT(Location) ASC",Bar chart showing the number of locations in ascending order of the y-axis.,mark bar data station encoding x location y aggregate count location transform group x sort y asc
350@y_name@ASC,bike_1,Bar,Hard,"Visualize BAR SELECT date , COUNT(date) FROM weather WHERE zip_code = 94107 AND EVENTS != ""Fog"" AND EVENTS != ""Rain""  ORDER BY COUNT(date) ASC BIN date BY WEEKDAY",Bar chart showing the total number of days in zip code 94107 where neither fog nor rain was observed in ascending order of the y-axis and binning by weekday.,"mark bar data weather encoding x date y aggregate count date transform filter zip_code = 94107 and events != ""fog"" and events != ""rain"" sort y asc bin x by weekday"
2452@y_name@DESC,network_1,Bar,Medium,"Visualize BAR SELECT name , SUM(grade) FROM Highschooler GROUP BY name ORDER BY SUM(grade) DESC",Bar chart showing total number of grades in descending order of the y-axis from high to low.,mark bar data highschooler encoding x name y aggregate sum grade transform group x sort y desc
2757,ship_mission,Pie,Easy,"Visualize PIE SELECT Type , COUNT(Type) FROM ship GROUP BY Type",Pie chart showing the proportion of each type.,mark arc data ship encoding x type y aggregate count type transform group x
96@x_name@ASC,apartment_rentals,Bar,Easy,"Visualize BAR SELECT apt_type_code , min(room_count) FROM Apartments GROUP BY apt_type_code ORDER BY apt_type_code ASC",Bar chart showing minimal room count from different apt type codes in ascending order of apt type code.,mark bar data apartments encoding x apt_type_code y aggregate min room_count transform group x sort x asc
3100@x_name@ASC,university_basketball,Bar,Medium,"Visualize BAR SELECT ACC_Road , SUM(School_ID) FROM basketball_match GROUP BY ACC_Road ORDER BY ACC_Road ASC",Bar chart showing the total number of school ids in ascending order of acc road.,mark bar data basketball_match encoding x acc_road y aggregate sum school_id transform group x sort x asc
2317@y_name@ASC,match_season,Bar,Medium,"Visualize BAR SELECT Draft_Class , Draft_Pick_Number FROM match_season WHERE POSITION = ""Defender"" ORDER BY Draft_Pick_Number ASC",Bar chart showing the draft pick numbers and draft classes for players who play the defender position in ascending order of draft pick number.,"mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"" sort y asc"
1238@x_name@ASC,dorm_1,Bar,Easy,"Visualize BAR SELECT Sex , max(age) FROM student GROUP BY Sex ORDER BY Sex ASC",Bar chart showing the maximal age from different sexes in ascending order of sex.,mark bar data student encoding x sex y aggregate max age transform group x sort x asc
2662@y_name@DESC,restaurant_1,Bar,Hard,"Visualize BAR SELECT Fname , COUNT(Fname) FROM Student WHERE Age > 18 AND Major != 600 AND Sex = 'F' GROUP BY Fname ORDER BY COUNT(Fname) DESC","Bar chart showing the number of female students with age over 18 who are not majoring in 600, ranked by the number of different first names in descending order.",mark bar data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x sort y desc
2965@x_name@ASC,tracking_grants_for_research,Line,Medium,"Visualize LINE SELECT date_to , COUNT(date_to) FROM Project_Staff ORDER BY date_to ASC BIN date_to BY YEAR",Line chart showing the number of date to by year in ascending order of date to and binning by year.,mark line data project_staff encoding x date_to y aggregate count date_to transform sort x asc bin x by year
